"Name","Weight","Duration","Weight"
лежать на спине,500,10,"DIFFERENT:10;SPORT:10"
Меньше лежать,700,5,"DIFFERENT:5"
Следить за осанкой,1000,5,"DIFFERENT:5;SPORT:5"
Больше ходить,500,5,"DIFFERENT:5;SPORT:5"
Делать перерывы,1000,5,"DIFFERENT:5;SPORT:5"
Массаж,100,10,"DIFFERENT:10;FAMILY:10;LEISURE:10"
Упражнения,250,10,"DIFFERENT:10;SPORT:10"
Rueckenfit,5,5,"DIFFERENT:5"
Работать стоя,800,5,"DIFFERENT:5"
Новый матрас,1,20,"DIFFERENT:20;NECESSARY:20"
Эргономическое рабочее место,1,5,"DIFFERENT:5"
йога,300,30,"DIFFERENT:30;SPORT:30"
бассейн,1000,100,"DIFFERENT:100;SPORT:100"
новые идеи,10,5,"DIFFERENT:5"
сауна,50,240,"DIFFERENT:240;FAMILY:240;LEISURE:240"
учиться расслаблять плечи,500,5,"DIFFERENT:5;SPORT:5"
стельки,500,5,"DIFFERENT:5"
