"Name","Weight","Duration","Weight"
лежать на спине,500,10,"DIFFERENT:10;SPORT:10"
twillight struggle,1,40,"LEISURE:40;FAMILY:40"
catan,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
manchikin,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
labirint,1,20,"LEISURE:20;FAMILY:20"
dominion,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
monopoly,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
uno,1,40,"LEISURE:40;FAMILY:40"
totem,1,40,"LEISURE:40;FAMILY:40"
покер,1,30,"LEISURE:30"
тысяча,1,40,"LEISURE:40;FAMILY:40"
преферанс,1,40,"LEISURE:40"
нарды,1,15,"LEISURE:15"
диксит,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
эрудит,1,40,"LEISURE:40;FAMILY:40;STUDY:40"
шахматы,1,30,"LEISURE:30;FAMILY:30;STUDY:30"
зельеваренье,1,40,"LEISURE:40;FAMILY:40"
эволюция,1,40,"LEISURE:40;FAMILY:40"
Puerto rico,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
манчикин чгк,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
siedler catan продолжение,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
accept,1,40,120,"LEISURE:120;FAMILY:120;PEOPLE120"
балда,1,40,"LEISURE:40;FAMILY:40;STUDY:40"
разв игры,1,10,"LEISURE:10;STUDY:10"
misterx,1,40,"LEISURE:40;FAMILY:40"
mtg,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
elfer raus,1,40,"LEISURE:40;FAMILY:40"
скановорды,1,20,"LEISURE:20;STUDY:20"
судоку,1,40,20,"LEISURE:20;STUDY:20"
японские кроссворды,1,20,"LEISURE:20;STUDY:20"
викторины,1,40,20,"LEISURE:20;STUDY:20"
кроссворды,1,40,20,"LEISURE:20;STUDY:20"
дурак,1,15,"LEISURE:15;"
мафия,1,180,"LEISURE:120;FAMILY:120;PEOPLE120"
azul,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
phase 10,1,40,"LEISURE:40;FAMILY:40"
essentially fragen,1,40,"LEISURE:40;FAMILY:40"
7 чудес,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
lost cities,1,40,"LEISURE:40;FAMILY:40"
carcasone,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
пандемия,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
новые игры,1,5,"LEISURE:5"
pubquiz,1,120,"LEISURE:120;FAMILY:120;PEOPLE120"
