"Name","Weight","Duration","Weight","POSTPROCESS"
разговаривать вдумчиво,1000,5,"STUDY:5"
писать без транслейта,750,5,"STUDY:5"
грамматика,100,15,"STUDY:15"
разговаривать,750,15,"STUDY:15"
фильмы,10,150,"STUDY:150;FAMILY:150;LEISURE:15"
подкасты,100,30,"STUDY:30"
тв,100,150,"STUDY:150;FAMILY:150;LEISURE:15"
сериалы,100,50,"STUDY:50;FAMILY:50;LEISURE:15"
социальные сети,250,15,"STUDY:15"
книги,100,30,"STUDY:30;LEISURE:15"
карточки,500,5,"STUDY:5"
разбор чужих писем,100,5,"STUDY:5"
выступать,3,5,"STUDY:5"
meetup,10,240,"STUDY:180;PEOPLE:180"
радио,100,15,"STUDY:15"
статьи,100,15,"STUDY:15"
учиться на немецком,1,15,"STUDY:15"
писать статьи,3,30,"STUDY:30"
курс немецкого,1,5,"STUDY:5"
pubquiz,3,240,"STUDY:240;LEISURE:180;PEOPLE:10;FAMILY:240"
youtube,100,15,"STUDY:15"
tauchen,1,5,"STUDY:5"
geocashing,3,5,"STUDY:5"
Учебник немецкого,1,15,"STUDY:15"
сочинения,10,15,"STUDY:15"
couchsurfing,3,5,"STUDY:5"
кроссворды,3,15,"STUDY:15"
изучение по песням,3,15,"STUDY:15"
словарь,100,15,"STUDY:15"
выписывать слова,100,15,"STUDY:15"
перевод,3,15,"STUDY:15"
аудирование,10,15,"STUDY:15"
учить стихи,3,15,"STUDY:15"
логические игры,3,15,"STUDY:15"
спорт,200,180,"STUDY:120;PEOPLE120;SPORT120"
рукоделие,1,15,"STUDY:15"
тесты,10,15,"STUDY:15"
