"Name","Weight","Duration","Weight"
Друзья,100,25,"LEISURE:25;FAMILY:25"
MTG,300,30,"LEISURE:30"
Танк,500,15,"LEISURE:15;FAMILY:25;NECESSARY:30"
Final Fantasy,100,30,"LEISURE:30;FAMILY:30"
NES,100,30,"LEISURE:30;FAMILY:10"
QI,10,45,"LEISURE:45;FAMILY:45;STUDY:45"
Misfits,100,50,"LEISURE:50;FAMILY:50"
Кусто,50,45,"LEISURE:45;FAMILY:45;STUDY:45"
Великая и забытая,100,35,"LEISURE:35;FAMILY:35;STUDY:35"
Музыка,100,15, "LEISURE:15;STUDY:15"
Стардью,100,30,"LEISURE:15;FAMILY:15"
Марвел,100,50,"LEISURE:50;FAMILY:50"
Сериалы,50,50,"LEISURE:50;FAMILY:50"
ТВ,10,150,"LEISURE:150;FAMILY:150;STUDY:150"
Грань,100,50,"LEISURE:50;FAMILY:50"
Момзен,100,15,"STUDY:15"
Sex in the city,100,20,"LEISURE:20;FAMILY:20"
Фильмы,100,150,"LEISURE:150;FAMILY:150"
ЧГК,300,30,"LEISURE:30;FAMILY:30;STUDY:30"
Игры,300,30,"LEISURE:30;FAMILY:15"
Комиксы,8,30,"LEISURE:30"
Книги,500,30,"LEISURE:30;FAMILY:30;STUDY:30"
борис рыжих,100,15,"LEISURE:15;STUDY:15"
Рик и Морти,100,25,"LEISURE:25;FAMILY:25;STUDY:25"
uncharted,100,30,"LEISURE:30;FAMILY:30"
американская история,100,50,"LEISURE:50;FAMILY:50"
доктор кто,100,50,"LEISURE:50;FAMILY:50"
avatar,100,25,"LEISURE:25;FAMILY:25"
рассказ служанки,100,50,"LEISURE:50;FAMILY:50"
Stromberg,100,20,"LEISURE:20;FAMILY:20"
королевы крика,100,50,"LEISURE:50;FAMILY:50"
last of us,100,30,"LEISURE:30;FAMILY:30"
homeworld,100,30,"LEISURE:30"
ключи локов,100,50,"LEISURE:50;FAMILY:50"
mister robot,100,50,"LEISURE:50;FAMILY:50"
resident evil,100,30,"LEISURE:30"
diablo,100,30,"LEISURE:30"
societe,100,50,"LEISURE:50;FAMILY:50"
vedmak,100,30,"LEISURE:15;STUDY:30"
шаман кинг,100,25,"LEISURE:25;FAMILY:25"
sandman,100,30,"LEISURE:30"
круз,100,30,"LEISURE:30"
it takes two,20,180,"LEISURE:180;PEOPLE:180"
911,100,50,"LEISURE:50;FAMILY:50"
острые козырьки,100,50,"LEISURE:50;FAMILY:50"
world conquirer,100,20,"LEISURE:20"
покерфейс,100,50,"LEISURE:50;FAMILY:50"
starcraft,100,30,"LEISURE:30"
