"Name","Weight","Duration","Weight"
Спортзал,250,200,"SPORT:160;PEOPLE:10"
Бег,400,60,"SPORT:40;PEOPLE:2"
Занятия дома,250,30,"SPORT:30"
Йога,250,30,"SPORT:30"
Роликовые коньки,10,60,"SPORT:30;FAMILY:30"
Скейт,10,40,"SPORT:30"
Болдеринг,75,120,"SPORT:90;PEOPLE:10;FAMILY:10"
гребля,100,45,"SPORT:15;PEOPLE:2"
Plank challenge,500,5,"SPORT:5"
калестеника,400,30,"SPORT:30"
ходить в бассейн,100,90,"SPORT:40;FAMILY:10"
лфк спина,500,10,"SPORT:10"
лфк шея,500,10,"SPORT:10"
фехтование,200,60,"SPORT:40"
Zonglirovat,500,5,"SPORT:5"
Танцы,100,10,"SPORT:10;FAMILY:10"
