"Name","Weight","Duration","Weight","POSTPROCESS"
The art of agile development book,500,15,"STUDY:15",
Испанский duolingo,500,15,"STUDY:15",
Немецкий,100,15,"STUDY:15", LANGUAGE
Medium,200,15,"STUDY:15",
Cubase,100,15,"STUDY:15",
Baelding,200,15,"STUDY:15",
Innoq,100,15,"STUDY:15",
Анализ рабочих мест,50,15,"STUDY:15",
Фаулер,100,15,"STUDY:15",
(Company engineerings blogs),100,15,"STUDY:15",
(Real world architecture),500,15,"STUDY:15",
(How to approach a system design interview question),500,15,"STUDY:15",
(System design interview questions),100,15,"STUDY:15",
(Additional System Design Interview questions),100,15,"STUDY:15",
Microservices.io patterns,100,15,"STUDY:15",
design patterns knigi,100,15,"STUDY:15",
Römische geschichte,100,15,"STUDY:15",
Enterprise integration patterns,100,15,"STUDY:15",
System design cards anki,100,15,"STUDY:15",
Interactive-coding-challenges,100,15,"STUDY:15",
Domain driven design reference,500,15,"STUDY:15",
try new technology stack (reactive),100,15,"STUDY:15",
usergroups meetup,10,5,"STUDY:5",
jug nürnberg,10,5,"STUDY:5",
Рисовать,100,15,"STUDY:15",
электроника,100,15,"STUDY:15",
Cache dd,500,15,"STUDY:15",
Документальные фильмы,100,40,"STUDY:40;FAMILY:40",
Шахматы,250,15,"STUDY:15",CHESS
Пианино,250,15,"STUDY:15",
thoughworks technology radar,100,15,"STUDY:15",
clean code book,100,15,"STUDY:15",
Development path backend,100,15,"STUDY:15",
Development path general,100,15,"STUDY:15",
Development path devops,100,15,"STUDY:15",
Development path frontend,100,15,"STUDY:15",
togaf,1,15,"STUDY:15",
Unity,20,15,"STUDY:15",
Развитие мозга,250,5,"STUDY:5",
uzmo thinking with your pen,100,15, "STUDY:15",
Stylesheets,100,15, "STUDY:15",
RXJS,100,15, "STUDY:15",
Academind.com,100,15,"STUDY:15",
Bootstrap,100,15,"STUDY:15",
Kaggle,100,15,"STUDY:15",
Portswigger,100,15,"STUDY:15",
Aim42,100,15,"STUDY:15",
uml,100,15,"STUDY:15",
Действительно Карнеги,100,15,"STUDY:15",
Cloud community github,100,15,"STUDY:15",
agile estimation and planning,300,15,"STUDY:15",
Испанский учебник грамматика,100,15,"STUDY:15",
maturity models SMAR criteria,100,15,"STUDY:15",
development подкаст,75,30,"STUDY:30",
Немецкая грамматика,100,15,"STUDY:15",
Народы мира,100,15,"STUDY:15",
Aim42 und OORP,10,15,"STUDY:15",
Lean Agile Leadership,1,15,"STUDY:15",
less scrum,1,15,"STUDY:15",
liberated structures,1,15,"STUDY:15",
thoughtworks insight,10,15,"STUDY:15",
testsphere карты,10,15,"STUDY:15",
xing,10,15,"STUDY:15",
owasp juice shop,10,15,"STUDY:15",
DocToolchain,10,15,"STUDY:15",
Tiobe index,10,15,"STUDY:15",
Свою пошаговую стратегию,10,30,"STUDY:30",
Материалы по ЧГК,10,30,"STUDY:30",
Random Tasks,10,30,"STUDY:30",
software-architektur.tv,50,30,"STUDY:30",
microservice sagas dd,50,15,"STUDY:15",
bpmn,50,15,"STUDY:15",
tailwind,100,15,"STUDY:15",
top frontend frameworks,100,15,"STUDY:15",
проект nodejs,100,15,"STUDY:15",
4-ears model применять,100,15,"STUDY:15",
python telegram bot,250,30,"STUDY:30",
helm,100,15,"STUDY:15",
английский,100,15,"STUDY:15",
development battle,250,5,"STUDY:5",
leadership улучшение,500,15,"STUDY:15",
Lateral Führung,500,15,"STUDY:15",
monorepo,100,15,"STUDY:15",
AWS,300,15,"STUDY:15",
футбол модель для предсказания,10,30,"STUDY:30",
современные танцы,100,10,"STUDY:10;SPORT:10",
pimsler,700,20,"STUDY:20",
team topologies,100,15,"STUDY:15",
тренировать свояк,300,15,"STUDY:15",
тренировать викторины,300,15,"STUDY:15",
storytelling,100,15,"STUDY:15",
Rosetta stone,500,15,"STUDY:15",
инвестор,100,15,"STUDY:15",
private fields js,100,15,"STUDY:15",
spartan,100,15,"STUDY:15",
proekt dom,500,30,"STUDY:30",
enterprise patterns,100,15,"STUDY:15",
hschwentner.io/domain-driven-refactoring,100,15,"STUDY:15",
kata-log,50,15,"STUDY:15",
