"Name","Begin Time","End Time","Weights"
"Работа","07:00","16:00","STUDY:30"
"Больше гулять","16:00","16:40","DIFFERENT:40;SPORT:40;FAMILY:40"
"Гигиена","16:40","16:45","HYGIENE:5"
"Детская Убрать макияжный столикУбрать предметы лежащие не на местах-----------Подъезд Помыть полПомыть пол-----------","16:45","16:55","CLEAN:10"
"Квартира Выбросить мусорВыбросить грязный и пищевой мусор желтый мусор очистить и продезинфицировать мусорное ведро-----------","16:55","17:10","CLEAN:15"
"Гигиена","17:10","17:15","HYGIENE:5"
"Ванная Уборка предметовУбрать предметы лежащие не на местах-----------","17:15","17:20","CLEAN:5"
"Квартира Проветривание утромПроветривание утром-----------Прихожая Помыть полПомыть пол-----------","17:20","17:25","CLEAN:5"
"Красота","17:25","17:30","DIFFERENT:5;HYGIENE:5"
"Ужин","17:30","18:15","FAMILY:20"
"Детская Убрать макияжный столикУбрать предметы лежащие не на местах-----------Ванная Насадки на щёткиЗаменить насадки на щётки-----------Прихожая Уборка предметовУбрать предметы лежащие не на местах-----------","18:15","18:20","CLEAN:5"
"Квиз","18:20","21:45","STUDY:180;PEOPLE:180;LEISURE:180;FAMILY:180"
