"Name","Begin Time","End Time","Weights"
"завтрак","07:00","07:45","FAMILY:10"
"магазин","07:45","10:00","NECESSARY:120"
"Кот Чистить ушиЧистить уши-----------Квартира Выбросить мусорВыбросить грязный и пищевой мусор желтый мусор очистить и продезинфицировать мусорное ведро-----------","10:00","10:20","CLEAN:20"
"Танк","10:20","10:35","LEISURE:15;FAMILY:25;NECESSARY:30"
"Sex in the city","10:35","10:55","LEISURE:20;FAMILY:20"
"Танк","10:55","11:10","LEISURE:15;FAMILY:25;NECESSARY:30"
"Марвел","11:10","12:00","LEISURE:50;FAMILY:50"
"обед","12:00","12:45","FAMILY:20"
"Ванная Помыть зеркалоПомыть зеркало-----------Кухня Помыть поверхностиПомыть поверхности  разделочные доски раковину стены-----------","12:45","12:55","CLEAN:10"
"Детская Убрать макияжный столикУбрать предметы лежащие не на местах-----------Кот Чистить ушиЧистить уши-----------","12:55","13:00","CLEAN:5"
"Туалет Вымыть унитазВымыть унитаз-----------","13:00","13:10","CLEAN:10"
"Подъезд Помыть полПомыть пол-----------","13:10","13:20","CLEAN:10"
"Танк","13:20","13:35","LEISURE:15;FAMILY:25;NECESSARY:30"
"Великая и забытая","13:35","14:10","LEISURE:35;FAMILY:35;STUDY:35"
"Игры","14:10","14:40","LEISURE:30;FAMILY:15"
"Книги","14:40","15:10","LEISURE:30;FAMILY:30;STUDY:30"
"Игры","15:10","15:40","LEISURE:30;FAMILY:15"
"Танк","15:40","15:55","LEISURE:15;FAMILY:25;NECESSARY:30"
"Сериалы","15:55","16:45","LEISURE:50;FAMILY:50"
"Книги","16:45","17:15","LEISURE:30;FAMILY:30;STUDY:30"
"Ужин","17:15","18:00","FAMILY:20"
"Кухня Запустить посудомойкуЗапустить и разгрузить посудомойку-----------Спальня Уборка предметовУбрать предметы лежащие не на местах-----------","18:00","18:05","CLEAN:5"
"Гигиена","18:05","18:10","HYGIENE:5"
"Спальня Заправить кроватьЗаправить кровать-----------Велосипеды Мыть велосипедыМыть велосипеды  протиреть тормоза-----------","18:10","18:25","CLEAN:15"
"Кот Убирать туалетУбирать туалет-----------Туалет Уборка предметовУбрать предметы лежащие не на местах-----------","18:25","18:30","CLEAN:5"
"Гигиена","18:30","18:35","HYGIENE:5"
"Музыка","18:35","18:50","LEISURE:15;STUDY:15"
"Марвел","18:50","19:40","LEISURE:50;FAMILY:50"
"uncharted","19:40","20:10","LEISURE:30;FAMILY:30"
"доктор кто","20:10","21:00","LEISURE:50;FAMILY:50"
"MTG","21:00","21:30","LEISURE:30"
"борис рыжих","21:30","21:45","LEISURE:15;STUDY:15"
