"Name","Begin Time","End Time","Weights"
"Кухня Помыть мультиваркуПомыть мультиварку-----------","07:00","07:15","CLEAN:15"
"Квартира Проветривание вечеромПроветривание вечером-----------Детская Уборка вещей с полаУборка вещей с пола-----------","07:15","07:20","CLEAN:5"
"Гигиена","07:20","07:25","HYGIENE:5"
"Гостиная Уборка предметовУбрать предметы лежащие не на местах-----------Спальня Сменить постельное бельёСменить постельное бельё-----------","07:25","07:35","CLEAN:10"
"Детская Уборка вещей с полаУборка вещей с пола-----------Детская Уборка предметов со столаУбрать предметы лежащие не на местах-----------","07:35","07:40","CLEAN:5"
"Танк","07:40","07:55","LEISURE:15;FAMILY:25;NECESSARY:30"
"Марвел","07:55","08:45","LEISURE:50;FAMILY:50"
"Сериалы","08:45","09:35","LEISURE:50;FAMILY:50"
"Момзен","09:35","09:50","STUDY:15"
"Танк","09:50","10:05","LEISURE:15;FAMILY:25;NECESSARY:30"
"homeworld","10:05","10:35","LEISURE:30"
"mister robot","10:35","11:25","LEISURE:50;FAMILY:50"
"Великая и забытая","11:25","12:00","LEISURE:35;FAMILY:35;STUDY:35"
"обед","12:00","12:45","FAMILY:20"
"Спальня Сменить постельное бельёСменить постельное бельё-----------","12:45","12:50","CLEAN:5"
"Гигиена","12:50","12:55","HYGIENE:5"
"Детская Уборка предметов со столаУбрать предметы лежащие не на местах-----------Детская Уборка предметов с кресла и подокойникаУбрать предметы лежащие не на местах-----------Детская Заправить кроватьЗаправить кровать-----------","12:55","13:00","CLEAN:5"
"Квартира ГлажкаГладить вещи-----------","13:00","13:20","CLEAN:20"
"Гигиена","13:20","13:25","HYGIENE:5"
"Кот Чистить ушиЧистить уши-----------Детская Убрать макияжный столикУбрать предметы лежащие не на местах-----------","13:25","13:30","CLEAN:5"
"королевы крика","13:30","14:20","LEISURE:50;FAMILY:50"
"Книги","14:20","14:50","LEISURE:30;FAMILY:30;STUDY:30"
"societe","14:50","15:40","LEISURE:50;FAMILY:50"
"uncharted","15:40","16:10","LEISURE:30;FAMILY:30"
"Момзен","16:10","16:25","STUDY:15"
"американская история","16:25","17:15","LEISURE:50;FAMILY:50"
"Ужин","17:15","18:00","FAMILY:20"
"Квартира Проветривание утромПроветривание утром-----------Квартира Проветривание вечеромПроветривание вечером-----------","18:00","18:05","CLEAN:5"
"Прихожая Постирать скатертьПостирать скатерть и салфетки-----------Подъезд Помыть полПомыть пол-----------","18:05","18:20","CLEAN:15"
"Гигиена","18:20","18:25","HYGIENE:5"
"Zonglirovat","18:25","18:30","SPORT:5"
"Кабинет Протереть пыльПротереть пыль и  и убрать паутину  начистить деревянную мебель-----------Кухня Помыть полПомыть пол-----------","18:30","18:40","CLEAN:10"
"Plank challenge","18:40","18:45","SPORT:5"
"Plank challenge","18:45","18:50","SPORT:5"
"Plank challenge","18:50","18:55","SPORT:5"
"Танк","18:55","19:10","LEISURE:15;FAMILY:25;NECESSARY:30"
"Танк","19:10","19:25","LEISURE:15;FAMILY:25;NECESSARY:30"
"resident evil","19:25","19:55","LEISURE:30"
"sandman","19:55","20:25","LEISURE:30"
"Книги","20:25","20:55","LEISURE:30;FAMILY:30;STUDY:30"
"NES","20:55","21:25","LEISURE:30;FAMILY:10"
"world conquirer","21:25","21:45","LEISURE:20"
