"Name","Begin Time","End Time","Weights"
"Работа","07:00","17:30","STUDY:30;PEOPLE:45;SPORT:20"
"Детская Чистить плесеньЧистить плесень-----------","17:30","17:35","CLEAN:5"
"Детская Уборка предметов с тумбочкиУбрать предметы лежащие не на местах-----------Квартира Выбросить мусорВыбросить грязный и пищевой мусор желтый мусор очистить и продезинфицировать мусорное ведро-----------","17:35","17:50","CLEAN:15"
"Ужин","17:50","18:20","FAMILY:20"
"Велосипеды Смазать цепьСмазать цепь-----------","18:20","18:50","CLEAN:30"
"Гигиена","18:50","18:55","HYGIENE:5"
"Zonglirovat","18:55","19:00","SPORT:5"
"лфк шея","19:00","19:10","SPORT:10"
"Гигиена","19:10","19:15","HYGIENE:5"
"Йога","19:15","19:45","SPORT:30"
"Прихожая Помыть полПомыть пол-----------Кабинет Помыть выключателиПомыть выключатели розетки и ручки-----------","19:45","19:50","CLEAN:5"
"Гостиная Уборка предметовУбрать предметы лежащие не на местах-----------Детская Уборка вещей с полаУборка вещей с пола-----------","19:50","19:55","CLEAN:5"
"Гигиена","19:55","20:00","HYGIENE:5"
"Детская Вымыть зеркалоВымыть зеркало-----------Кухня Запустить посудомойкуЗапустить и разгрузить посудомойку-----------","20:00","20:05","CLEAN:5"
"Plank challenge","20:05","20:10","SPORT:5"
"Танк","20:10","20:25","LEISURE:15;FAMILY:15;NECESSARY:15"
"NES","20:25","20:55","LEISURE:30;FAMILY:10"
"911","20:55","21:45","LEISURE:50;FAMILY:50"
