"Name","Begin Time","End Time","Weights"
"Работа","07:00","16:00","STUDY:30"
"flylady","16:00","16:10","DIFFERENT:10;CLEAN:10"
"Gewinspiele","16:10","16:15","DIFFERENT:5"
"Развитие мозга","16:15","16:25","DIFFERENT:10;STUDY:10"
"Квартира Пропылесосить полПропылесосить пол-----------","16:25","16:35","CLEAN:10"
"event calendar","16:35","16:40","DIFFERENT:5;PEOPLE:30"
"Гигиена","16:40","16:45","HYGIENE:5"
"flylady","16:45","16:55","DIFFERENT:10;CLEAN:10"
"Plank challenge","16:55","17:00","SPORT:5"
"ЧГК","17:00","17:30","LEISURE:30;FAMILY:30;STUDY:30"
"Ужин","17:30","18:15","FAMILY:20"
"Бег","18:15","19:15","SPORT:40;PEOPLE:2"
"Заниматься спиной:Следить за осанкой","19:15","19:20","DIFFERENT:5;SPORT:5"
"Ванная Уборка предметовУбрать предметы лежащие не на местах-----------","19:20","19:25","CLEAN:5"
"Лечить псориаз","19:25","19:30","DIFFERENT:5;HYGIENE:5"
"Детская Уборка предметов с кресла и подокойникаУбрать предметы лежащие не на местах-----------Квартира ГлажкаГладить вещи-----------","19:30","19:50","CLEAN:20"
"Приводит себя в порядок","19:50","19:55","DIFFERENT:5;HYGIENE:5"
"Красота","19:55","20:00","DIFFERENT:5;HYGIENE:5"
"Танк","20:00","20:15","LEISURE:15;FAMILY:25;NECESSARY:30"
"MTG","20:15","20:45","LEISURE:30"
"Игры","20:45","21:15","LEISURE:30;FAMILY:15"
"starcraft","21:15","21:45","LEISURE:30"
