"Name","Weight","Duration","Weight"
 zwischenverpflegung,10,5,"DIFFERENT:5"
автомат,10,5,"DIFFERENT:5"
jobrad,1,5,"DIFFERENT:5"
freizeitbildung,1,5,"DIFFERENT:5"
sport,100,5,"DIFFERENT:5"
skidki,10,5,"DIFFERENT:5"
alterversorgung,1,5,"DIFFERENT:5"
gesundheitcheck,1,5,"DIFFERENT:5"
augendruckmessung,1,5,"DIFFERENT:5"
vorsorge bildschirmarbeit,1,5,"DIFFERENT:5"
конференции,1,5,"DIFFERENT:5"
vermögungsvirkungsleistung,1,5,"DIFFERENT:5"
knigi,10,20,"DIFFERENT:20;STUDY:20"
soft skils,1,5,"DIFFERENT:5"
datev learning events,100,5,"DIFFERENT:5"
linkendin,100,5,"DIFFERENT:5"
kantine,250,5,"DIFFERENT:5"
voda,250,5,"DIFFERENT:5"
externe weiterbildung,1,5,"DIFFERENT:5"
betriebsat rabate,10,5,"DIFFERENT:5"
монитор,1,5,"DIFFERENT:5"
höheverstellbar tisch,750,5,"DIFFERENT:5"
кофе,750,5,"DIFFERENT:5"
мороженое,10,5,"DIFFERENT:5"
кфе вкусное,10,5,"DIFFERENT:5"
фаншоп,5,5,"DIFFERENT:5"
weiterbildung,5,5,"DIFFERENT:5"
майка,1,5,"DIFFERENT:5"
pizza,10,5,"DIFFERENT:5"
