"Name","Weight","Duration","Weight"
Спортзал,250,200,"SPORT:160;PEOPLE:10"
врач настя,3,5,"DIFFERENT:5;NECESSARY:5"
анализы,5,5,"DIFFERENT:5;NECESSARY:5;HYGIENE:5"
диета,750,5,"DIFFERENT:5;NECESSARY:5"
овуляция,500,5,"DIFFERENT:5;NECESSARY:5"
отказ от таблеток,10,5,"DIFFERENT:5;NECESSARY:5"
секс,500,15,"DIFFERENT:15;LEISURE:15;FAMILY:15"
секс по графику,250,15,"DIFFERENT:15;LEISURE:15;FAMILY:15"
нет алкоголю,500,5,"DIFFERENT:5"
витамины,500,5,"DIFFERENT:5;HYGIENE:5"
искуственные методы,1,5,"DIFFERENT:5"
сексуальное возбуждение,200,30,"DIFFERENT:30;LEISURE:30;FAMILY:30"
вода,1000,5,"DIFFERENT:5;HYGIENE:5"
врач,5,5,"DIFFERENT:5;HYGIENE:5;NECESSARY:5"
дыхательные упражнения,500,10,"DIFFERENT:10;SPORT:10"
льяное семя,500,5,"DIFFERENT:5;HYGIENE:5"
селен цинк,500,5,"DIFFERENT:5;HYGIENE:5"
поза ,250,15,"DIFFERENT:15;LEISURE:15;FAMILY:15"
берёзка после секса,250,20,"DIFFERENT:20;LEISURE:20;FAMILY:20"
антидепрессанты Настя,750,60,"DIFFERENT:60;LEISURE:60;FAMILY:60"
Антидепрессанты Илья,750,60,"DIFFERENT:60;LEISURE:60"
нет кофе илья,500,5,"DIFFERENT:5"
нет кофе настя,500,5,"DIFFERENT:5"
новые идеи,10,5,"DIFFERENT:5"
