"Name","Weight","Duration","Weight","POSTPROCESS"
Второго ребёнка,500,10,"DIFFERENT:5",CHILD
Побывать на всех материках,7,500,"DIFFERENT:5",
Звонки родным,300,10,"DIFFERENT:10;FAMILY:10",
Слушать что хочет Рада,300,30,"DIFFERENT:30;FAMILY:30",
Пожить пару месяцев в Испании,1,5,"DIFFERENT:5",
Bucketlist кулинарное путешествие,5,5,"DIFFERENT:5",
Осознанно жить,500,5,"DIFFERENT:500;LEISURE:120;NECESSARY:30;SPORT:120;STUDY:45;HYGIENE:20;CLEAN:15;FAMILY:180;PEOPLE:30",WHOLE_DAY
coach.me,100,15,"DIFFERENT:15;LEISURE:3;SPORT:10;STUDY:5",
Использовать Shuffle,100,15,"DIFFERENT:15;STUDY:10",
Запись альбома,10,60,"DIFFERENT:60;STUDY:60;FAMILY:60",
torrent,100,60,"DIFFERENT:60;STUDY:15;LEISURE:50;FAMILY:20",
Играть в настольные игры,100,45,"DIFFERENT:60;LEISURE:60;FAMILY:60;PEOPLE:10",BOARDGAMES,
flylady,500,10,"DIFFERENT:10;CLEAN:10",
Поездка на велосипеде 75км,10,10,"DIFFERENT:10",
Мотоцикл,1,15,"DIFFERENT:15;STUDY:15",
Подкасты,100,40,"DIFFERENT:40;STUDY:40",
youtube,100,20,"DIFFERENT:20;LEISURE:5;SPORT:15;STUDY:5;FAMILY:5",
Делать карьеру,100,5,"DIFFERENT:5",
Романтика,100,40,"DIFFERENT:40;FAMILY:40",
Уют,300,15,"DIFFERENT:15;CLEAN:15",ROOMS
Красота,800,5,"DIFFERENT:5;HYGIENE:5",
Разнообразить секс,10,30,"DIFFERENT:30;LEISURE:30;FAMILY:30",
Пробывать что-то новое,100,15,"DIFFERENT:15;FAMILY:15",
Документальные фильмы,100,40,"DIFFERENT:40;FAMILY:40;STUDY:40",
Геокешинг,10,5,"DIFFERENT:5",
Nürnberg.de,10,5,"DIFFERENT:5",
Собирать модели,1,10,"DIFFERENT:10;FAMILY:10;STUDY:10",
Тренировать Брейн,10,320,"DIFFERENT:320;PEOPLE:320;STUDY:320",
Лечить псориаз,500,5,"DIFFERENT:5;HYGIENE:5",PSORIASIS
medium,10,15,"DIFFERENT:15;STUDY:15",
togoodtogo,7,70,"DIFFERENT:70;FAMILY:10",
Общаться с друзьями,500,5,"DIFFERENT:5;PEOPLE:5",
Встречаться с друзьями,300,240,"DIFFERENT:240;PEOPLE:180",
Слушать планы Настя,500,60,"DIFFERENT:60;FAMILY:60;LEISURE:30",
Слушать планы Рада,300,60,"DIFFERENT:40;FAMILY:40;LEISURE:30",
Обниматься,500,10,"DIFFERENT:10;FAMILY:10;LEISURE:10",
Настя найти новую работу и заработать пенсию,100,5,"DIFFERENT:5;FAMILY:5",
Настя новая книга стихов,100,5,"DIFFERENT:5",
Увидеть северное сияние,1,5,"DIFFERENT:5",
Полёт на воздушном шаре,5,5,"DIFFERENT:5",
Связать мужу носочки,300,50,"DIFFERENT:50;FAMILY:50;LEISURE:50",
Выучить Любовь и смерть Гранадаса,300,5,"DIFFERENT:5",
Конный поход,1,5,"DIFFERENT:5",
Сафари а Африке,1,5,"DIFFERENT:5",
Пеший поход,10,10,"DIFFERENT:10",
Дайвинг,1,5,"DIFFERENT:5",
Целый день позитивное настроение,500,5,"DIFFERENT:500;LEISURE:240;NECESSARY:30;SPORT:120;STUDY:15;HYGIENE:20;CLEAN:15;FAMILY:180;PEOPLE:30",WHOLE_DAY
Быть эгоистом,100,5,"DIFFERENT:5",
Сауна,8,240,"DIFFERENT:240;HYGIENE:180;LEISURE:30",
NOFAP,500,5,"DIFFERENT:500;LEISURE:90;NECESSARY:30;SPORT:60;HYGIENE:5;CLEAN:20;FAMILY:180",WHOLE_DAY
Больше фотографироваться,10,5,"DIFFERENT:5",
Разобораться с тутбаем,100,5,"DIFFERENT:5",
Больше гулять,500,40,"DIFFERENT:40;SPORT:40;FAMILY:40",
D3.ru,5,5,"DIFFERENT:5",
Учиться разговаривать,300,5,"DIFFERENT:5",
Приводит себя в порядок,800,5,"DIFFERENT:5;HYGIENE:5",
Facebook,50,5,"DIFFERENT:5",
Заниматься спиной,500,5,"DIFFERENT:5;SPORT:5",BACK
Urlaubs Piraten,1,5,"DIFFERENT:5",
Пересмотреть таски,10,5,"DIFFERENT:5",
Магическая уборка,10,20,"DIFFERENT:20;CLEAN:20",
Meetups,10,180,"DIFFERENT:180;STUDY:120",
Werbungsprospekte,100,60,"DIFFERENT:60",
Nebenan,10,5,"DIFFERENT:5",
Пейнтбол,2,5,"DIFFERENT:5",
Mywishlist,100,5,"DIFFERENT:5",
Lifehacker,100,30,"DIFFERENT:30;LEISURE:5;SPORT:15;CLEAN:5;FAMILY:10;STUDY:10",
Youtube,100,20,"DIFFERENT:20;LEISURE:5;SPORT:15;STUDY:5",
Статьи гугл,200,30,"DIFFERENT:30;LEISURE:15;STUDY:15",
ЧГК войти в сотню,100,150,"DIFFERENT:150;LEISURE:150;STUDY:150;FAMILY:150",
Массаж,200,5,"DIFFERENT:5;FAMILY:5",
Здоровье,500,5,"DIFFERENT:5;HYGIENE:5",
Книги,500,30,"DIFFERENT:30;STUDY:30;LEISURE:30",
Игры,300,30,"DIFFERENT:30;LEISURE:30;FAMILY:30",
Комиксы,8,30,"DIFFERENT:30;LEISURE:30",
Фильмы,100,120,"DIFFERENT:120;LEISURE:120;FAMILY:120",
ТВ,10,180,"DIFFERENT:180;LEISURE:180;FAMILY:180",
Сериалы,50,50,"DIFFERENT:50;LEISURE:50;FAMILY:50",
Музыка,100,15,"DIFFERENT:15;LEISURE:15",
Нужные покупки,50,20,"DIFFERENT:20",
Развитие мозга,300,10,"DIFFERENT:10;STUDY:10",
Puzzle,1,5,"DIFFERENT:5;FAMILY:5",
Акции,100,10,"DIFFERENT:10;FAMILY:5",
ДнД,50,5,"DIFFERENT:5",
Бонусы на работе,100,5,"DIFFERENT:5",BONUS
Желания Настя,100,60,"DIFFERENT:60;FAMILY:60;LEISURE:30",
Желания Рада,100,40,"DIFFERENT:40;FAMILY:40",
Gewinspiele,500,5,"DIFFERENT:5",
Парный ЧГК,400,30,"DIFFERENT:30;FAMILY:30;STUDY:30;LEISURE:30",
Komoot,75,5,"DIFFERENT:5",
Яхтинг,2,5,"DIFFERENT:5",
Habr,75,15,"DIFFERENT:15;STUDY:15",
Dtf,100,30,"DIFFERENT:30;LEISURE:30",
Параглайдинг,1,5,"DIFFERENT:5",
Немецкий,100,15,"DIFFERENT:5",LANGUAGE,
Сервис авто,10,30,"DIFFERENT:30;NECESSARY:30",
шпионский монитор,1,30,"DIFFERENT:30;STUDY:30",
backup,10,15,"DIFFERENT:15;NECESSARY:15",
говорить медленее,500,5,"DIFFERENT:5",
ванна,20,30,"DIFFERENT:30;LEISURE:20;HYGIENE:30",
event calendar,500,5,"DIFFERENT:5;PEOPLE:30",
запас продуктов,50,20,"DIFFERENT:20",
проверить вход в банк,100,5,"DIFFERENT:5;NECESSARY:5",
настроить аутентификация,75,10,"DIFFERENT:10;NECESSARY:10",
писать вопросы,50,15,"DIFFERENT:15;STUDY:15",
контрастный душ,300,10,"DIFFERENT:10;HYGIENE:10",
тур клуб,10,15,"DIFFERENT:15;PEOPLE:15",
фехтование,70,180,"DIFFERENT:180;PEOPLE:120;SPORT:120",
arduino,10,30,"DIFFERENT:30;STUDY:30",
backup photo,50,30,"DIFFERENT:30;NECESSARY:30",
новый shuffle,500,30,"DIFFERENT:30;STUDY:30",
