"Name","Weight","Duration","Weight"
прихожая,1,15,"DIFFERENT:15;CLEAN:15"
кухня,1,15,"DIFFERENT:15;CLEAN:15"
ванная,1,15,"DIFFERENT:15;CLEAN:15"
спальня,1,15,"DIFFERENT:15;CLEAN:15"
гостинная,1,15,"DIFFERENT:15;CLEAN:15"
балкон,1,15,"DIFFERENT:15;CLEAN:15"
детская,1,15,"DIFFERENT:15;CLEAN:15"
туалет,1,15,"DIFFERENT:15;CLEAN:15"
подъезд,1,15,"DIFFERENT:15;CLEAN:15"
подвал,1,15,"DIFFERENT:15;CLEAN:15"
велосипеды,1,15,"DIFFERENT:15;CLEAN:15"
гараж,1,15,"DIFFERENT:15;CLEAN:15"
машина,1,15,"DIFFERENT:15;CLEAN:15"

