"Name","Begin Time","End Time","Weights"
"Работа","07:00","16:00","STUDY:30"
"Магазин","16:00","18:00","NECESSARY:120"
"Ужин","18:00","18:30","FAMILY:20"
"Выучить Любовь и смерть Гранадаса","18:30","18:35","DIFFERENT:5"
"Гигиена","18:35","18:40","HYGIENE:5"
"Квартира Выбросить мусорВыбросить грязный и пищевой мусор желтый мусор очистить и продезинфицировать мусорное ведро-----------","18:40","18:55","CLEAN:15"
"новый shuffle","18:55","19:25","DIFFERENT:30;STUDY:30"
"Фильмы","19:25","21:25","DIFFERENT:120;LEISURE:120;FAMILY:120"
"Гигиена","21:25","21:30","HYGIENE:5"
"Кот Убирать туалетУбирать туалет-----------Спальня Заправить кроватьЗаправить кровать-----------","21:30","21:35","CLEAN:5"
"лфк шея","21:35","21:45","SPORT:10"
