"Name","Begin Time","End Time","Weights"
"Детская Уборка вещей с полаУборка вещей с пола-----------Гостиная Помыть окноПомыть окно включая подоконники и откосы-----------","07:00","07:20","CLEAN:20"
"Спальня Уборка предметовУбрать предметы лежащие не на местах-----------Туалет Помыть зеркалоПомыть зеркало-----------","07:20","07:25","CLEAN:5"
"Спальня Уборка предметовУбрать предметы лежащие не на местах-----------Детская Убрать книжный шкафУбрать предметы лежащие не на местах-----------","07:25","07:30","CLEAN:5"
"Детская Убрать макияжный столикУбрать предметы лежащие не на местах-----------Квартира Пропылесосить полПропылесосить пол-----------","07:30","07:40","CLEAN:10"
"Друзья","07:40","08:05","LEISURE:25;FAMILY:25"
"starcraft","08:05","08:35","LEISURE:30"
"Stromberg","08:35","08:55","LEISURE:20;FAMILY:20"
"Стардью","08:55","09:25","LEISURE:15;FAMILY:15"
"американская история","09:25","10:15","LEISURE:50;FAMILY:50"
"ЧГК","10:15","10:45","LEISURE:30;FAMILY:30;STUDY:30"
"Кусто","10:45","11:30","LEISURE:45;FAMILY:45;STUDY:45"
"Книги","11:30","12:00","LEISURE:30;FAMILY:30;STUDY:30"
"обед","12:00","12:45","FAMILY:20"
"Кухня Перебрать продуктыубрать все просроченные или не нужные продукты из холодильника  убрать все лишнее из морозильной камеры  разложить всё по местам -----------Спальня Заправить кроватьЗаправить кровать-----------","12:45","12:50","CLEAN:5"
"Детская Убрать книжный шкафУбрать предметы лежащие не на местах-----------Кабинет Помыть полПомыть пол-----------","12:50","12:55","CLEAN:5"
"Кухня Запустить посудомойкуЗапустить и разгрузить посудомойку-----------Квартира СтиркаПостирать и развесить вещи-----------","12:55","13:05","CLEAN:10"
"Ванная Уборка предметовУбрать предметы лежащие не на местах-----------","13:05","13:10","CLEAN:5"
"Прихожая Уборка предметовУбрать предметы лежащие не на местах-----------Спальня Заправить кроватьЗаправить кровать-----------Детская Убрать книжный шкафУбрать предметы лежащие не на местах-----------","13:10","13:15","CLEAN:5"
"Квартира Проветривание вечеромПроветривание вечером-----------Квартира Выбросить мусорВыбросить грязный и пищевой мусор желтый мусор очистить и продезинфицировать мусорное ведро-----------","13:15","13:30","CLEAN:15"
"Гигиена","13:30","13:35","HYGIENE:5"
"uncharted","13:35","14:05","LEISURE:30;FAMILY:30"
"покерфейс","14:05","14:55","LEISURE:50;FAMILY:50"
"ЧГК","14:55","15:25","LEISURE:30;FAMILY:30;STUDY:30"
"homeworld","15:25","15:55","LEISURE:30"
"societe","15:55","16:45","LEISURE:50;FAMILY:50"
"MTG","16:45","17:15","LEISURE:30"
"Ужин","17:15","18:00","FAMILY:20"
"Важное","18:00","18:15","CLEAN:5;FAMILY:5;NECESSARY:15"
"Важное","18:15","18:30","CLEAN:5;FAMILY:5;NECESSARY:15"
"Важное","18:30","18:45","CLEAN:5;FAMILY:5;NECESSARY:15"
"Гигиена","18:45","18:50","HYGIENE:5"
"Ванная Уборка предметовУбрать предметы лежащие не на местах-----------","18:50","18:55","CLEAN:5"
"Кабинет Протереть пыльПротереть пыль и  и убрать паутину  начистить деревянную мебель-----------Детская Уборка предметов со столаУбрать предметы лежащие не на местах-----------","18:55","19:00","CLEAN:5"
"Ванная Помыть зеркалоПомыть зеркало-----------Кухня Уборка предметовУбрать предметы лежащие не на местах-----------","19:00","19:05","CLEAN:5"
"Великая и забытая","19:05","19:40","LEISURE:35;FAMILY:35;STUDY:35"
"diablo","19:40","20:10","LEISURE:30"
"Рик и Морти","20:10","20:35","LEISURE:25;FAMILY:25;STUDY:25"
"Sex in the city","20:35","20:55","LEISURE:20;FAMILY:20"
"доктор кто","20:55","21:45","LEISURE:50;FAMILY:50"
