"Name","Begin Time","End Time","Weights"
"Работа","07:00","17:30","STUDY:30;PEOPLE:30;SPORT:20"
"Ужин","17:30","18:15","FAMILY:20"
"Гостиная Уборка предметовУбрать предметы лежащие не на местах-----------Квартира Проветривание утромПроветривание утром-----------","18:15","18:20","CLEAN:5"
"Больше гулять","18:20","19:00","DIFFERENT:40;SPORT:40;FAMILY:40"
"Гигиена","19:00","19:05","HYGIENE:5"
"Кухня Поменять фильтр в вытяжкеПоменять фильтр в фильтре в вытяжке-----------Детская Уборка вещей с полаУборка вещей с пола-----------","19:05","19:10","CLEAN:5"
"Кухня Помыть поверхностиПомыть поверхности  разделочные доски раковину стены-----------","19:10","19:20","CLEAN:10"
"Кот Убирать туалетУбирать туалет-----------Детская Уборка предметов с кресла и подокойникаУбрать предметы лежащие не на местах-----------","19:20","19:25","CLEAN:5"
"Гигиена","19:25","19:30","HYGIENE:5"
"Кухня Помыть полПомыть пол-----------Гостиная Протереть пыльПротереть пыль и убрать паутину-----------","19:30","19:40","CLEAN:10"
"рассказ служанки","19:35","20:25","LEISURE:50;FAMILY:50"
"Книги","20:25","20:55","LEISURE:30;FAMILY:30;STUDY:30"
"Грань","20:55","21:45","LEISURE:50;FAMILY:50"
