"Name","Begin Time","End Time","Weights"
"Работа","07:00","16:00","STUDY:30"
"Кот КупатьКупать-----------","16:00","16:10","CLEAN:10"
"Plank challenge","16:10","16:15","SPORT:5"
"Гигиена","16:15","16:20","HYGIENE:5"
"Занятия дома","16:20","16:50","SPORT:30"
"Квартира ГлажкаГладить вещи-----------","16:50","17:10","CLEAN:20"
"Гигиена","17:10","17:15","HYGIENE:5"
"Ужин","17:15","18:00","FAMILY:40"
"ДнД","18:00","18:05","DIFFERENT:5"
"Выучить Любовь и смерть Гранадаса","18:05","18:10","DIFFERENT:5"
"Второго ребёнка:Антидепрессанты Илья","18:10","19:10","DIFFERENT:60;LEISURE:60"
"лфк шея","19:10","19:20","SPORT:10"
"Танцы","19:20","19:30","SPORT:10;FAMILY:10"
"Гигиена","19:30","19:35","HYGIENE:5"
"Детская Заправить кроватьЗаправить кровать-----------Кот Убирать туалетУбирать туалет-----------","19:35","19:40","CLEAN:5"
"Квиз","19:40","21:45","STUDY:150;LEISURE:150;PEOPLE:150"
