"Name","Begin Time","End Time","Weights"
"Завтрак","07:00","07:30","FAMILY:20"
"Гигиена","07:30","07:35","HYGIENE:5"
"Спальня Помыть зеркалоПомыть зеркало-----------Кухня Запустить посудомойкуЗапустить и разгрузить посудомойку-----------","07:35","07:40","CLEAN:5"
"лфк спина","07:40","07:50","SPORT:10"
"Спальня Заправить кроватьЗаправить кровать-----------Кухня Поменять фильтр в фильтре для водыПоменять фильтр в фильтре для воды-----------Ванная Помыть зеркалоПомыть зеркало-----------","07:50","07:55","CLEAN:5"
"Zonglirovat","07:55","08:00","SPORT:5"
"Магазин","08:00","10:00","FAMILY:120;NECESSARY:120"
"Занятия дома","10:00","10:30","SPORT:30"
"Гигиена","10:30","10:35","HYGIENE:5"
"Прихожая Постирать скатертьПостирать скатерть и салфетки-----------Кот Убирать туалетУбирать туалет-----------","10:35","10:45","CLEAN:10"
"Ванная Помыть поверхностиПомыть поверхности  краны ручки  держатели для полотенец выключатели и розетки-----------","10:45","10:55","CLEAN:10"
"Гигиена","10:55","11:00","HYGIENE:5"
"лфк спина","11:00","11:10","SPORT:10"
"лфк шея","11:10","11:20","SPORT:10"
"Кухня Запустить посудомойкуЗапустить и разгрузить посудомойку-----------Детская Заправить кроватьЗаправить кровать-----------Прихожая Помыть полПомыть пол-----------","11:20","11:25","CLEAN:5"
"Plank challenge","11:25","11:30","SPORT:5"
"Гигиена","11:30","11:35","HYGIENE:5"
"Детская Уборка предметов со столаУбрать предметы лежащие не на местах-----------Спальня Уборка в тумбочках и на полкахУборка в тумбочках и на полках-----------","11:35","11:40","CLEAN:5"
"лфк спина","11:40","11:50","SPORT:10"
"Обед","11:50","12:05","FAMILY:5"
"Детская Уборка предметов с тумбочкиУбрать предметы лежащие не на местах-----------Детская Уборка вещей с полаУборка вещей с пола-----------Гостиная Протереть пыль с книгПротереть пыль с книг-----------","12:05","12:45","CLEAN:40"
"калестеника","12:45","13:15","SPORT:30"
"Гигиена","13:15","13:20","HYGIENE:5"
"Момзен","13:20","13:35","STUDY:15"
"острые козырьки","13:35","14:25","LEISURE:50;FAMILY:50"
"Танк","14:25","14:40","LEISURE:15;FAMILY:15;NECESSARY:15"
"societe","14:40","15:30","LEISURE:50;FAMILY:50"
"ЧГК","15:30","18:30","LEISURE:150;PEOPLE:150;FAMILY:150;STUDY:150"
"Концерт","18:30","21:45","LEISURE:120;PEOPLE:120;FAMILY:120"
